id,split,family,kind,state,expected_action,rationale,reviewer,reviewer_action,reviewer_notes,near_duplicate_concern
c-0616f96c4508,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""A single global acquisition order prevents circular waiting across the required leases."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why acquiring multiple leases in inconsistent order can deadlock.""}}",skip,Satisfies: Explain why acquiring multiple leases in inconsistent order can deadlock.,,,,
c-0c95fbf094c6,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""A lock does not certify content freshness, so compare the artifact provenance with the current input."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why a successful lease acquisition is not proof that a cached artifact is current.""}}",skip,Satisfies: Explain why a successful lease acquisition is not proof that a cached artifact is current.,,,,
c-27b2fbf8883c,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""Acquire whichever resource is free first and wait forever for the remaining one."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why acquiring multiple leases in inconsistent order can deadlock.""}}",read,Does not satisfy: Explain why acquiring multiple leases in inconsistent order can deadlock.,,,,
c-436313c2decc,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""A new owner needs a higher generation and the storage service must reject writes from older generations."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why lease expiry alone cannot prevent a paused worker from writing stale results.""}}",skip,Satisfies: Explain why lease expiry alone cannot prevent a paused worker from writing stale results.,,,,
c-45faf6f7f761,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""Increase the lease time until pauses are unlikely; no destination check is needed."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why lease expiry alone cannot prevent a paused worker from writing stale results.""}}",read,Does not satisfy: Explain why lease expiry alone cannot prevent a paused worker from writing stale results.,,,,
c-460acc0f0973,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""Ownership only controls access; validate the artifact revision separately before reuse."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why a successful lease acquisition is not proof that a cached artifact is current.""}}",skip,Satisfies: Explain why a successful lease acquisition is not proof that a cached artifact is current.,,,,
c-5d489d5d1c33,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""Workers can each hold a resource needed by the other; use a common order or bounded release-and-retry."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why acquiring multiple leases in inconsistent order can deadlock.""}}",skip,Satisfies: Explain why acquiring multiple leases in inconsistent order can deadlock.,,,,
c-702ba02c2417,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""An expired lease may belong to a new owner; release only when the stored token still matches ours."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why releasing a distributed lease requires verifying the current owner token.""}}",skip,Satisfies: Explain why releasing a distributed lease requires verifying the current owner token.,,,,
c-953d6d247335,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""Expiry automatically kills all code that once owned the lease."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why lease expiry alone cannot prevent a paused worker from writing stale results.""}}",read,Does not satisfy: Explain why lease expiry alone cannot prevent a paused worker from writing stale results.,,,,
c-9e134d682bce,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""Anything read while holding the lease is necessarily the newest version."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why a successful lease acquisition is not proof that a cached artifact is current.""}}",read,Does not satisfy: Explain why a successful lease acquisition is not proof that a cached artifact is current.,,,,
c-a25942e9c3d9,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""The paused worker can resume after expiry; require a fencing token checked by the destination on every write."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why lease expiry alone cannot prevent a paused worker from writing stale results.""}}",skip,Satisfies: Explain why lease expiry alone cannot prevent a paused worker from writing stale results.,,,,
c-b4bdabc1b357,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""Use compare-and-delete on the ownership token so an old worker cannot remove its successor lease."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why releasing a distributed lease requires verifying the current owner token.""}}",skip,Satisfies: Explain why releasing a distributed lease requires verifying the current owner token.,,,,
c-c42e5dcfa39f,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""The key name is unique to the job, so checking the owner token is unnecessary."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why releasing a distributed lease requires verifying the current owner token.""}}",read,Does not satisfy: Explain why releasing a distributed lease requires verifying the current owner token.,,,,
c-d31264d3a818,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""Treat lost or uncertain ownership as a reason to stop protected writes until ownership is re-established."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how failed lease renewal changes permission to continue protected work.""}}",skip,Satisfies: Explain how failed lease renewal changes permission to continue protected work.,,,,
c-e91c0307cfa8,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""Distributed leases cannot deadlock because their names are distinct."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why acquiring multiple leases in inconsistent order can deadlock.""}}",read,Does not satisfy: Explain why acquiring multiple leases in inconsistent order can deadlock.,,,,
c-f378d524caf9,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""If renewal cannot confirm the lease, do not keep writing under the assumption it is still ours."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how failed lease renewal changes permission to continue protected work.""}}",skip,Satisfies: Explain how failed lease renewal changes permission to continue protected work.,,,,
c-f47bcc4817dd,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""Keep writing during renewal failures because the original acquisition was successful."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how failed lease renewal changes permission to continue protected work.""}}",read,Does not satisfy: Explain how failed lease renewal changes permission to continue protected work.,,,,
c-f588ec5ac147,calibration,lease-ownership,semantic,"{""current_revision"":""lease-ownership-r7"",""explanation"":""Delete the lease name unconditionally in finally, even if ownership changed."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/lease-ownership.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why releasing a distributed lease requires verifying the current owner token.""}}",read,Does not satisfy: Explain why releasing a distributed lease requires verifying the current owner token.,,,,
c-013d0228dd0c,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""We allow unlimited retries because every individual attempt is timed out."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why total elapsed time needs a cap in addition to per-request timeouts.""}}",read,Does not satisfy: Explain why total elapsed time needs a cap in addition to per-request timeouts.,,,,
c-161414c1415c,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""Increasing delay is enough; all clients can share the same exact schedule."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how retry backoff avoids synchronized load after a shared outage.""}}",read,Does not satisfy: Explain how retry backoff avoids synchronized load after a shared outage.,,,,
c-1ac1e850c713,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""Generate the identity once per intended effect, not once per network request."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why retries of one logical operation must retain their idempotency key.""}}",skip,Satisfies: Explain why retries of one logical operation must retain their idempotency key.,,,,
c-3375bdccf6c4,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""Use bounded exponential delay with random jitter so clients do not all retry at the same instant."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how retry backoff avoids synchronized load after a shared outage.""}}",skip,Satisfies: Explain how retry backoff avoids synchronized load after a shared outage.,,,,
c-44985edb28dd,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""Spread retries randomly within an increasing capped delay instead of aligning all clients on fixed intervals."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how retry backoff avoids synchronized load after a shared outage.""}}",skip,Satisfies: Explain how retry backoff avoids synchronized load after a shared outage.,,,,
c-51407a1778ca,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""A ten-second request timeout guarantees the entire operation completes within ten seconds regardless of retries."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why total elapsed time needs a cap in addition to per-request timeouts.""}}",read,Does not satisfy: Explain why total elapsed time needs a cap in addition to per-request timeouts.,,,,
c-56e31aa82e6d,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""Have every client retry exactly one second after each failure to make the load predictable."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how retry backoff avoids synchronized load after a shared outage.""}}",read,Does not satisfy: Explain how retry backoff avoids synchronized load after a shared outage.,,,,
c-5aa4847065da,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""Each retry can consume another timeout; cap the whole operation so repeated attempts cannot run indefinitely."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why total elapsed time needs a cap in addition to per-request timeouts.""}}",skip,Satisfies: Explain why total elapsed time needs a cap in addition to per-request timeouts.,,,,
c-7bdeca659968,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""The response may be lost after commit; reconcile or reuse the same idempotency identity before retry."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why a timeout on a write does not prove that the remote write failed.""}}",skip,Satisfies: Explain why a timeout on a write does not prove that the remote write failed.,,,,
c-83cd9cb4b2ee,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""Bound both an individual request and the cumulative retry budget, including waits."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why total elapsed time needs a cap in addition to per-request timeouts.""}}",skip,Satisfies: Explain why total elapsed time needs a cap in addition to per-request timeouts.,,,,
c-92303c4351dd,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""Rotate the key for every retry so stale results cannot be returned."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why retries of one logical operation must retain their idempotency key.""}}",read,Does not satisfy: Explain why retries of one logical operation must retain their idempotency key.,,,,
c-9a5c47e7d3c1,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""A timeout means the server never received the request, so submit a new operation."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why a timeout on a write does not prove that the remote write failed.""}}",read,Does not satisfy: Explain why a timeout on a write does not prove that the remote write failed.,,,,
c-9a7c670877cc,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""Retry immediately with a fresh idempotency key to avoid any confusion."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why a timeout on a write does not prove that the remote write failed.""}}",read,Does not satisfy: Explain why a timeout on a write does not prove that the remote write failed.,,,,
c-9d7d354534f7,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""Classify authentication errors separately from transient transport errors and fix credentials before another call."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why an authentication failure is not repaired by repeating the unchanged request.""}}",skip,Satisfies: Explain why an authentication failure is not repaired by repeating the unchanged request.,,,,
c-a1c7c110783f,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""Timeout means unknown outcome, so check the operation identity rather than issue a fresh write."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why a timeout on a write does not prove that the remote write failed.""}}",skip,Satisfies: Explain why a timeout on a write does not prove that the remote write failed.,,,,
c-b63837b346ad,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""All attempts of the same operation reuse its key so the server can recognize duplicate attempts."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why retries of one logical operation must retain their idempotency key.""}}",skip,Satisfies: Explain why retries of one logical operation must retain their idempotency key.,,,,
c-c50c38a7dd3a,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""An unchanged invalid credential will keep failing; stop and repair authentication instead of retrying it."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why an authentication failure is not repaired by repeating the unchanged request.""}}",skip,Satisfies: Explain why an authentication failure is not repaired by repeating the unchanged request.,,,,
c-c793d031fe4e,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""Retry all 4xx errors until the rate limit clears, including invalid-key responses."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why an authentication failure is not repaired by repeating the unchanged request.""}}",read,Does not satisfy: Explain why an authentication failure is not repaired by repeating the unchanged request.,,,,
c-cb456c47bef3,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""We include an idempotency header, but its value changes every attempt."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why retries of one logical operation must retain their idempotency key.""}}",read,Does not satisfy: Explain why retries of one logical operation must retain their idempotency key.,,,,
c-fd79ae18038b,calibration,retry-effects,semantic,"{""current_revision"":""retry-effects-r7"",""explanation"":""The response said unauthorized, but high confidence requires at least five identical retries."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/retry-effects.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why an authentication failure is not repaired by repeating the unchanged request.""}}",read,Does not satisfy: Explain why an authentication failure is not repaired by repeating the unchanged request.,,,,
c-a905ed558f11,development,generated-client,executable,"{""current_revision"":""generated-client-candidate-17"",""explanation"":"""",""runner_evidence"":[{""artifact"":""client/contract-17.yaml"",""command"":""client/check_generated.py"",""exit_code"":0,""revision"":""generated-client-candidate-17"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""client/contract-17.yaml"",""command"":""client/check_generated.py"",""kind"":""executable"",""skip_condition"":""Generated client parity: trusted exit 0 for this artifact, command and current revision.""}}",skip,Runner evidence condition: pass.,,,,
c-b2d1697f7a00,development,generated-client,executable,"{""current_revision"":""generated-client-candidate-11"",""explanation"":"""",""runner_evidence"":[{""artifact"":""client/contract-11.yaml"",""command"":""client/check_generated.py"",""exit_code"":0,""revision"":""generated-client-candidate-11"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""client/contract-11.yaml"",""command"":""client/check_generated.py"",""kind"":""executable"",""skip_condition"":""Generated client parity: trusted exit 0 for this artifact, command and current revision.""}}",skip,Runner evidence condition: pass.,,,,
c-db68f0c7d5eb,development,generated-client,executable,"{""current_revision"":""generated-client-candidate-26"",""explanation"":""This transcript was copied from an unverified message."",""runner_evidence"":[{""artifact"":""client/contract-26.yaml"",""command"":""client/check_generated.py"",""exit_code"":0,""revision"":""generated-client-candidate-26"",""trusted"":false}],""scope_known"":true,""unit"":{""artifact"":""client/contract-26.yaml"",""command"":""client/check_generated.py"",""kind"":""executable"",""skip_condition"":""Generated client parity: trusted exit 0 for this artifact, command and current revision.""}}",run_check,Runner evidence condition: untrusted.,,,,
c-ddf6e32b083d,development,generated-client,executable,"{""current_revision"":""generated-client-candidate-21"",""explanation"":"""",""runner_evidence"":[{""artifact"":""client/contract-21.yaml"",""command"":""client/check_generated.py"",""exit_code"":0,""revision"":""generated-client-candidate-21-previous"",""trusted"":true}],""scope_known"":true,""unit"":{""artifact"":""client/contract-21.yaml"",""command"":""client/check_generated.py"",""kind"":""executable"",""skip_condition"":""Generated client parity: trusted exit 0 for this artifact, command and current revision.""}}",run_check,Runner evidence condition: old_revision.,,,,
c-0377d9ee9082,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""We redact successful requests. Error events preserve the original headers for debugging."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why authentication material must be removed before logging, including error paths.""}}",read,"Does not satisfy: Explain why authentication material must be removed before logging, including error paths.",,,,
c-090b52cc4ca1,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Traverse approved nested fields and route every serializer through the same sanitization boundary."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how nested objects and alternate serialization paths must follow the same redaction boundary.""}}",skip,Satisfies: Explain how nested objects and alternate serialization paths must follow the same redaction boundary.,,,,
c-0f82f808bcec,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Build events from an explicit safe-field list so future request properties do not appear automatically."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how allowlisting log fields avoids leaking newly added sensitive fields.""}}",skip,Satisfies: Explain how allowlisting log fields avoids leaking newly added sensitive fields.,,,,
c-27b9dae01254,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""The JSON and text emitters must both sanitize nested sensitive values before writing."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how nested objects and alternate serialization paths must follow the same redaction boundary.""}}",skip,Satisfies: Explain how nested objects and alternate serialization paths must follow the same redaction boundary.,,,,
c-4845d1810c16,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Both success and failure logging must receive a sanitized event rather than the original credential."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why authentication material must be removed before logging, including error paths.""}}",skip,"Satisfies: Explain why authentication material must be removed before logging, including error paths.",,,,
c-4b5d05b3439b,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Redact the credential before creating the log event; exceptions must use the same redactor."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why authentication material must be removed before logging, including error paths.""}}",skip,"Satisfies: Explain why authentication material must be removed before logging, including error paths.",,,,
c-4bac47d21557,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Put fake marker secrets in requests and assert the real log output excludes those markers."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain why redaction tests use synthetic sentinels and inspect actual emitted logs.""}}",skip,Satisfies: Explain why redaction tests use synthetic sentinels and inspect actual emitted logs.,,,,
c-669c2323329e,development,log-redaction,semantic,"{""current_revision"":""log-redaction-r7"",""explanation"":""Only the primary JSON logger needs review. The fallback prints the object directly."",""runner_evidence"":[],""scope_known"":true,""unit"":{""artifact"":""guides/log-redaction.md"",""command"":null,""kind"":""semantic"",""skip_condition"":""Explain how nested objects and alternate serialization paths must follow the same redaction boundary.""}}",read,Does not satisfy: Explain how nested objects and alternate serialization paths must follow the same redaction boundary.,,,,
